,x,y,angle,dist,drift,xp,yp,x_drift,y_drift
292,441,68,160.016893478,11.7046999107,3.0,444,68,3.0,0.0
293,434,72,150.255118703,8.0622577483,4.0,430,72,-4.0,0.0
294,432,70,-135.0,2.82842712475,7.81024967591,427,76,-5.0,6.0
295,421,76,151.389540334,12.5299640861,12.0415945788,430,68,9.0,-8.0
296,414,78,164.054604099,7.28010988928,5.65685424949,410,82,-4.0,4.0
297,407,80,164.054604099,7.28010988928,0.0,407,80,0.0,0.0
298,400,82,164.054604099,7.28010988928,0.0,400,82,0.0,0.0
299,392,85,159.44395478,8.54400374532,1.41421356237,393,84,1.0,-1.0
300,387,88,149.036243468,5.83095189485,3.0,384,88,-3.0,0.0
301,380,92,150.255118703,8.0622577483,2.2360679775,382,91,2.0,-1.0
302,368,95,165.963756532,12.3693168769,5.09901951359,373,96,5.0,1.0
303,363,100,135.0,7.07106781187,7.28010988928,356,98,-7.0,-2.0
304,358,99,-168.690067526,5.09901951359,6.0,358,105,0.0,6.0
305,354,102,143.130102354,5.0,4.12310562562,353,98,-1.0,-4.0
306,343,107,155.55604522,12.0830459736,7.28010988928,350,105,7.0,-2.0
307,337,109,161.565051177,6.32455532034,5.83095189485,332,112,-5.0,3.0
308,330,109,180.0,7.0,2.2360679775,331,111,1.0,2.0
309,328,111,135.0,2.82842712475,5.38516480713,323,109,-5.0,-2.0
310,314,112,175.91438322,14.0356688476,12.0415945788,326,113,12.0,1.0
311,317,115,45.0,4.24264068712,17.1172427686,300,113,-17.0,-2.0
312,306,117,169.695153531,11.1803398875,14.0356688476,320,118,14.0,1.0
313,298,115,-165.963756532,8.24621125124,5.0,295,119,-3.0,4.0
314,291,114,-171.869897646,7.07106781187,1.41421356237,290,113,-1.0,-1.0
315,285,114,180.0,6.0,1.41421356237,284,113,-1.0,-1.0
316,281,117,143.130102354,5.0,3.60555127546,279,114,-2.0,-3.0
317,272,112,-150.945395901,10.295630141,9.43398113206,277,120,5.0,8.0
318,265,109,-156.801409486,7.61577310586,2.82842712475,263,107,-2.0,-2.0
319,256,107,-167.471192291,9.21954445729,2.2360679775,258,106,2.0,-1.0
320,252,105,-153.434948823,4.472135955,5.0,247,105,-5.0,0.0
321,248,103,-153.434948823,4.472135955,0.0,248,103,0.0,0.0
322,239,99,-156.037511025,9.8488578018,5.38516480713,244,101,5.0,2.0
323,235,94,-128.659808254,6.40312423743,5.09901951359,230,95,-5.0,1.0
324,231,91,-143.130102354,5.0,2.0,231,89,0.0,-2.0
325,226,88,-149.036243468,5.83095189485,1.0,227,88,1.0,0.0
326,218,82,-143.130102354,10.0,4.24264068712,221,85,3.0,3.0
327,208,77,-153.434948823,11.1803398875,2.2360679775,210,76,2.0,-1.0
328,206,77,180.0,2.0,9.43398113206,198,72,-8.0,-5.0
329,197,71,-146.309932474,10.8166538264,9.21954445729,204,77,7.0,6.0
330,195,68,-123.690067526,3.60555127546,7.61577310586,188,65,-7.0,-3.0
331,190,64,-141.340191746,6.40312423743,3.16227766017,193,65,3.0,1.0
332,179,59,-155.55604522,12.0830459736,6.0827625303,185,60,6.0,1.0
333,180,56,-71.5650511771,3.16227766017,12.1655250606,168,54,-12.0,-2.0
334,163,50,-160.559965172,18.0277563773,18.2482875909,181,53,18.0,3.0
335,163,49,-90.0,1.0,17.7200451467,146,44,-17.0,-5.0
336,161,47,-135.0,2.82842712475,2.2360679775,163,48,2.0,1.0
337,164,52,59.0362434679,5.83095189485,8.60232526704,159,45,-5.0,-7.0
338,152,48,-161.565051177,12.6491106407,17.4928556845,167,57,15.0,9.0
339,151,44,-104.036243468,4.12310562562,11.0,140,44,-11.0,0.0
340,145,44,180.0,6.0,6.40312423743,150,40,5.0,-4.0
341,147,47,56.309932474,3.60555127546,8.54400374532,139,44,-8.0,-3.0
342,136,43,-160.016893478,11.7046999107,14.7648230602,149,50,13.0,7.0
343,128,46,159.44395478,8.54400374532,7.61577310586,125,39,-3.0,-7.0
344,120,48,165.963756532,8.24621125124,1.0,120,49,0.0,1.0
345,111,49,173.659808254,9.05538513814,1.41421356237,112,50,1.0,1.0
346,106,53,141.340191746,6.40312423743,5.0,102,50,-4.0,-3.0
347,98,55,165.963756532,8.24621125124,3.60555127546,101,57,3.0,2.0
348,94,58,143.130102354,5.0,4.12310562562,90,57,-4.0,-1.0
349,94,57,-90.0,1.0,5.65685424949,90,61,-4.0,4.0
350,92,60,123.690067526,3.60555127546,4.472135955,94,56,2.0,-4.0
351,94,60,0.0,2.0,5.0,90,63,-4.0,3.0
352,92,60,180.0,2.0,4.0,96,60,4.0,0.0
353,91,59,-135.0,1.41421356237,1.41421356237,90,60,-1.0,1.0
354,92,64,78.690067526,5.09901951359,6.32455532034,90,58,-2.0,-6.0
355,93,63,-45.0,1.41421356237,6.0,93,69,0.0,6.0
356,94,64,45.0,1.41421356237,2.0,94,62,0.0,-2.0
357,91,68,126.869897646,5.0,5.0,95,65,4.0,-3.0
358,89,72,116.565051177,4.472135955,1.0,88,72,-1.0,0.0
359,88,80,97.1250163489,8.0622577483,4.12310562562,87,76,-1.0,-4.0
360,86,81,153.434948823,2.2360679775,7.07106781187,87,88,1.0,7.0
361,84,81,180.0,2.0,1.0,84,82,0.0,1.0
362,83,91,95.7105931375,10.0498756211,10.0498756211,82,81,-1.0,-10.0
363,82,96,101.309932474,5.09901951359,5.0,82,101,0.0,5.0
364,82,105,90.0,9.0,4.12310562562,81,101,-1.0,-4.0
365,82,111,90.0,6.0,3.0,82,114,0.0,3.0
366,84,116,68.1985905136,5.38516480713,2.2360679775,82,117,-2.0,1.0
367,89,124,57.9946167919,9.43398113206,4.24264068712,86,121,-3.0,-3.0
