,x,y,angle,dist,drift
112,474,305,-135.0,1.41421356237,3.16227766017
113,477,310,59.0362434679,5.83095189485,8.60232526704
114,478,309,-45.0,1.41421356237,12.0830459736
115,479,309,0.0,1.0,2.2360679775
116,482,310,18.4349488229,3.16227766017,1.41421356237
117,485,310,0.0,3.0,3.60555127546
118,489,315,51.3401917459,6.40312423743,5.38516480713
119,490,315,0.0,1.0,12.2065556157
120,494,312,-36.8698976458,5.0,3.60555127546
121,501,312,0.0,7.0,6.0827625303
122,506,310,-21.8014094864,5.38516480713,9.21954445729
123,512,308,-18.4349488229,6.32455532034,4.472135955
124,516,305,-36.8698976458,5.0,8.0622577483
125,521,303,-21.8014094864,5.38516480713,5.0
126,526,301,-21.8014094864,5.38516480713,5.38516480713
127,531,297,-38.6598082541,6.40312423743,5.0
128,535,296,-14.0362434679,4.12310562562,9.21954445729
129,542,290,-40.601294645,9.21954445729,4.12310562562
130,547,286,-38.6598082541,6.40312423743,12.0415945788
131,550,287,18.4349488229,3.16227766017,11.401754251
132,551,286,-45.0,1.41421356237,5.83095189485
133,543,285,-172.874983651,8.0622577483,10.0498756211
134,543,281,-90.0,4.0,16.1245154966
135,539,276,-128.659808254,6.40312423743,5.0
136,538,270,-99.462322208,6.0827625303,8.0622577483
137,535,262,-110.55604522,8.54400374532,4.12310562562
138,534,260,-116.565051177,2.2360679775,14.8660687473
139,530,253,-119.744881297,8.0622577483,3.60555127546
140,526,247,-123.690067526,7.21110255093,8.94427191
141,519,242,-144.462322208,8.60232526704,7.07106781187
142,519,237,-90.0,5.0,14.8660687473
143,516,232,-120.963756532,5.83095189485,5.83095189485
144,515,228,-104.036243468,4.12310562562,7.81024967591
145,509,224,-146.309932474,7.21110255093,5.65685424949
146,506,218,-116.565051177,6.7082039325,9.21954445729
147,501,213,-135.0,7.07106781187,7.07106781187
148,499,206,-105.945395901,7.28010988928,8.54400374532
149,491,198,-135.0,11.313708499,7.21110255093
150,483,193,-147.994616792,9.43398113206,13.6014705087
151,478,188,-135.0,7.07106781187,12.0830459736
152,472,185,-153.434948823,6.7082039325,8.0622577483
153,467,182,-149.036243468,5.83095189485,7.61577310586
154,467,176,-90.0,6.0,10.0
155,461,168,-126.869897646,10.0,7.21110255093
156,453,160,-135.0,11.313708499,8.94427191
157,447,156,-146.309932474,7.21110255093,15.6204993518
158,445,153,-123.690067526,3.60555127546,11.1803398875
159,443,148,-111.801409486,5.38516480713,2.2360679775
160,435,142,-143.130102354,10.0,5.65685424949
161,426,134,-138.366460663,12.0415945788,8.0622577483
162,422,130,-135.0,5.65685424949,18.4390889146
163,415,124,-139.398705355,9.21954445729,2.2360679775
164,414,123,-135.0,1.41421356237,17.0293863659
165,413,121,-116.565051177,2.2360679775,1.0
166,408,116,-135.0,7.07106781187,3.16227766017
167,403,107,-119.054604099,10.295630141,5.09901951359
168,398,101,-129.805571092,7.81024967591,13.0
169,394,98,-143.130102354,5.0,10.8166538264
170,387,99,171.869897646,7.07106781187,7.07106781187
171,385,90,-102.528807709,9.21954445729,16.2788205961
172,378,85,-144.462322208,8.60232526704,13.3416640641
173,371,79,-139.398705355,9.21954445729,8.0622577483
174,366,74,-135.0,7.07106781187,11.401754251
175,363,70,-126.869897646,5.0,9.21954445729
176,357,66,-146.309932474,7.21110255093,4.0
177,348,62,-156.037511025,9.8488578018,5.0
178,343,57,-135.0,7.07106781187,13.3416640641
179,340,54,-135.0,4.24264068712,9.89949493661
180,330,49,-153.434948823,11.1803398875,4.12310562562
181,326,47,-153.434948823,4.472135955,17.88854382
182,324,47,180.0,2.0,7.21110255093
183,321,47,180.0,3.0,1.0
184,319,47,180.0,2.0,4.0
185,318,48,135.0,1.41421356237,3.16227766017
186,308,50,168.690067526,10.1980390272,8.0
187,302,55,140.194428908,7.81024967591,14.0356688476
188,297,56,168.690067526,5.09901951359,11.401754251
189,288,59,161.565051177,9.48683298051,1.41421356237
190,283,63,141.340191746,6.40312423743,13.152946438
191,277,66,153.434948823,6.7082039325,6.40312423743
192,271,69,153.434948823,6.7082039325,6.7082039325
193,263,77,135.0,11.313708499,4.472135955
194,257,81,146.309932474,7.21110255093,15.6204993518
195,252,87,129.805571092,7.81024967591,7.28010988928
196,249,91,126.869897646,5.0,10.6301458127
197,243,102,118.610459666,12.5299640861,3.0
198,242,101,-135.0,1.41421356237,25.495097568
199,239,107,116.565051177,6.7082039325,8.0622577483
200,235,115,116.565051177,8.94427191,4.472135955
201,230,124,119.054604099,10.295630141,7.61577310586
202,227,132,110.55604522,8.54400374532,12.2065556157
203,223,135,143.130102354,5.0,13.152946438
204,220,149,102.094757077,14.3178210633,9.43398113206
205,219,149,180.0,1.0,28.4429253067
206,216,156,113.198590514,7.61577310586,7.07106781187
207,211,165,119.054604099,10.295630141,5.09901951359
208,207,172,119.744881297,8.0622577483,12.5299640861
209,201,179,130.601294645,9.21954445729,7.28010988928
210,199,184,111.801409486,5.38516480713,13.4536240471
211,194,192,122.005383208,9.43398113206,2.2360679775
212,189,196,141.340191746,6.40312423743,13.0
213,182,202,139.398705355,9.21954445729,3.60555127546
214,179,205,135.0,4.24264068712,14.2126704036
215,173,208,153.434948823,6.7082039325,3.0
216,166,213,144.462322208,8.60232526704,5.09901951359
217,164,217,116.565051177,4.472135955,13.416407865
218,156,218,172.874983651,8.0622577483,8.0622577483
219,158,221,56.309932474,3.60555127546,18.0277563773
220,145,233,137.290610043,17.691806013,18.0277563773
221,137,238,147.994616792,9.43398113206,26.1725046566
222,132,242,141.340191746,6.40312423743,12.5299640861
223,125,246,150.255118703,8.0622577483,5.0
224,119,249,153.434948823,6.7082039325,9.43398113206
225,120,246,-71.5650511771,3.16227766017,15.8113883008
226,113,248,164.054604099,7.28010988928,12.0415945788
227,109,249,165.963756532,4.12310562562,10.4403065089
228,103,250,170.537677792,6.0827625303,2.2360679775
229,97,252,161.565051177,6.32455532034,6.0
230,96,254,116.565051177,2.2360679775,11.1803398875
231,97,256,63.4349488229,2.2360679775,3.60555127546
232,97,245,-90.0,11.0,15.1327459504
233,100,245,0.0,3.0,22.2036033112
234,101,242,-71.5650511771,3.16227766017,5.83095189485
235,104,236,-63.4349488229,6.7082039325,1.0
236,106,235,-26.5650511771,2.2360679775,11.7046999107
237,115,227,-41.6335393366,12.0415945788,7.81024967591
238,122,221,-40.601294645,9.21954445729,14.8660687473
239,127,216,-45.0,7.07106781187,11.401754251
240,132,213,-30.9637565321,5.83095189485,8.60232526704
241,140,209,-26.5650511771,8.94427191,2.82842712475
242,146,206,-26.5650511771,6.7082039325,11.1803398875
243,152,203,-26.5650511771,6.7082039325,6.7082039325
244,158,198,-39.8055710923,7.81024967591,6.0827625303
245,164,195,-26.5650511771,6.7082039325,9.21954445729
246,176,190,-22.619864948,13.0,1.0
247,187,190,0.0,11.0,16.4012194669
248,193,188,-18.4349488229,6.32455532034,16.1245154966
249,202,184,-23.9624889746,9.8488578018,3.0
250,212,181,-16.699244234,10.4403065089,9.43398113206
251,218,180,-9.46232220803,6.0827625303,14.8660687473
252,227,176,-23.9624889746,9.8488578018,3.60555127546
253,234,174,-15.9453959009,7.28010988928,12.5299640861
254,241,173,-8.13010235416,7.07106781187,7.61577310586
255,250,169,-23.9624889746,9.8488578018,5.38516480713
